image_id,title,keyword,source_website,image_url,local_file_path
pinterest_business environment_000,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/cc/b7/ab/ccb7abe87503d0c2df26ac741708a429.jpg,E:\python work\cora-data\photos2\pinterest_business environment_000.jpg
pinterest_business environment_001,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/1f/9f/82/1f9f825beafaa037012dc100fa074de8.jpg,E:\python work\cora-data\photos2\pinterest_business environment_001.jpg
pinterest_business environment_002,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/74/bc/e6/74bce684d0f8af3f26ffab278c33e175.jpg,E:\python work\cora-data\photos2\pinterest_business environment_002.jpg
pinterest_business environment_003,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/60/f0/59/60f059dae670a0f1fd93a86fc6683cd7.jpg,E:\python work\cora-data\photos2\pinterest_business environment_003.jpg
pinterest_business environment_004,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/93/68/c8/9368c816d1e6c57358df4a7b9a4f9f73.jpg,E:\python work\cora-data\photos2\pinterest_business environment_004.jpg
pinterest_business environment_005,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/6e/17/2b/6e172b7d70ce6fba8457d61e450754e0.jpg,E:\python work\cora-data\photos2\pinterest_business environment_005.jpg
pinterest_business environment_006,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/aa/b5/e5/aab5e5e1ca7ac1c71f606aa1f10ebff5.jpg,E:\python work\cora-data\photos2\pinterest_business environment_006.jpg
pinterest_business environment_007,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/61/e7/51/61e751aff93db5e7d2922ee24f8b2f61.jpg,E:\python work\cora-data\photos2\pinterest_business environment_007.jpg
pinterest_business environment_008,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/af/06/91/af0691ff799df1fa3409952d283ab166.jpg,E:\python work\cora-data\photos2\pinterest_business environment_008.jpg
pinterest_business environment_009,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/26/4e/a8/264ea83d5bc36797ef310ae9242d9d1e.jpg,E:\python work\cora-data\photos2\pinterest_business environment_009.jpg
pinterest_business environment_010,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/c0/e5/38/c0e538cb9674ce0a562b1b3a1b254159.jpg,E:\python work\cora-data\photos2\pinterest_business environment_010.jpg
pinterest_business environment_011,business environment,business environment,Pinterest,https://i.pinimg.com/60x60/9d/5f/dc/9d5fdcb451a13f7515782d0c708e641e.jpg,E:\python work\cora-data\photos2\pinterest_business environment_011.jpg
